City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mataura,-46.19,168.86,35.01,91.0,96.0,10.0,NZ,1601211909.0
cape town,-33.925839,18.423218,60.8,44.0,40.0,5.82,ZA,1601211902.0
xucheng,20.350001000000002,110.128837,80.6,100.0,100.0,2.24,CN,1601211910.0
inhambane,-23.865,35.3833333,84.2,66.0,40.0,6.93,MZ,1601211911.0
lata,40.16,-8.33,77.0,52.0,0.0,7.23,PT,1601211911.0
port alfred,-33.590571999999995,26.891037,60.76,55.0,2.0,20.92,ZA,1601211911.0
ancud,-41.869721999999996,-73.820278,48.99,93.0,36.0,5.01,CL,1601211911.0
kavieng,-2.5666667000000003,150.8,82.62,80.0,25.0,10.6,PG,1601211911.0
norman wells,65.283333,-126.83,39.2,86.0,90.0,2.24,CA,1601211703.0
katsuura,35.133333,140.3,69.8,88.0,75.0,2.24,JP,1601211896.0
nome,64.5011111,-165.4063889,32.0,95.0,1.0,9.17,US,1601211912.0
caravelas,-17.71,-39.25,81.37,58.0,0.0,7.92,BR,1601211912.0
mayo,38.89,-76.51,69.01,100.0,90.0,4.7,US,1601211727.0
taltal,-25.4,-70.48,60.58,61.0,0.0,5.08,CL,1601211913.0
albany,42.6,-73.97,70.0,92.0,74.0,1.99,US,1601211913.0
victoria,22.29,114.16,82.99,79.0,100.0,18.57,HK,1601211619.0
ejido,8.551388900000001,-71.2375,74.35,48.0,76.0,2.62,VE,1601211914.0
tilichiki,60.466667,166.1,34.25,90.0,0.0,2.68,RU,1601211914.0
new norfolk,-42.78075,147.05938700000002,46.0,75.0,2.0,1.01,AU,1601211735.0
bellavista,-7.06,-76.59,71.6,100.0,20.0,1.07,PE,1601211914.0
kruisfontein,-34.003333000000005,24.731417,62.01,49.0,3.0,11.01,ZA,1601211914.0
broken hill,-31.95,141.43,51.8,57.0,8.0,6.93,AU,1601211715.0
bahia blanca,-38.719595,-62.272431999999995,51.8,100.0,75.0,17.22,AR,1601211681.0
vaini,-21.2,-175.2,73.4,78.0,75.0,8.05,TO,1601211915.0
yellowknife,62.46,-114.35,41.0,100.0,90.0,4.7,CA,1601211708.0
bluff,-46.6,168.333333,35.01,91.0,96.0,10.0,NZ,1601211916.0
dharchula,29.85,80.533333,64.87,63.0,0.0,1.74,IN,1601211916.0
beisfjord,68.38,17.6,50.0,39.0,0.0,14.99,NO,1601211916.0
saint-philippe,-21.36,55.7666667,77.0,57.0,40.0,6.93,RE,1601211917.0
ninghai,29.29,121.42,71.01,94.0,69.0,2.24,CN,1601211917.0
busselton,-33.652489,115.33,59.0,77.0,100.0,8.79,AU,1601211620.0
hermanus,-34.418696000000004,19.234464000000003,59.0,55.0,39.0,4.0,ZA,1601211917.0
la ronge,55.1,-105.28,44.6,75.0,75.0,9.17,CA,1601211708.0
lompoc,34.639166700000004,-120.45694440000001,57.2,87.0,1.0,1.34,US,1601211918.0
puerto ayora,-0.74,-90.35,69.01,86.0,99.0,8.01,EC,1601211918.0
hobart,-42.88,147.33,48.2,57.0,75.0,14.99,AU,1601211918.0
chokurdakh,70.633333,147.916667,41.13,65.0,100.0,4.59,RU,1601211918.0
rikitea,-23.120277800000004,-134.9691667,73.92,83.0,0.0,11.59,PF,1601211919.0
mocuba,-16.840277800000003,36.99,104.92,13.0,100.0,7.56,MZ,1601211919.0
iwanai,42.974444,140.50888899999998,54.7,86.0,100.0,5.23,JP,1601211908.0
ushtobe,45.25,77.982222,52.2,44.0,0.0,15.99,KZ,1601211919.0
ushuaia,-54.8,-68.3,35.6,80.0,40.0,6.93,AR,1601211713.0
saskylakh,71.916667,114.08333300000001,38.82,83.0,100.0,11.99,RU,1601211680.0
hilo,19.729722199999998,-155.09,71.6,78.0,40.0,5.82,US,1601211921.0
iqaluit,63.75,-68.51,30.2,74.0,90.0,8.05,CA,1601211922.0
buala,-8.14,159.59,80.35,81.0,100.0,13.87,SB,1601211922.0
thompson,55.74,-97.86,41.0,100.0,90.0,9.17,CA,1601211703.0
goderich,43.75,-81.72,66.0,86.0,22.0,1.99,CA,1601211681.0
khatanga,71.966667,102.5,35.17,85.0,96.0,21.16,RU,1601211680.0
saint anthony,45.02,-93.22,55.4,76.0,1.0,10.29,US,1601211923.0
fort nelson,58.81,-122.7,41.0,100.0,75.0,3.36,CA,1601211923.0
mehamn,71.04,27.85,44.02,61.0,0.0,8.86,NO,1601211668.0
qaanaaq,77.48,-69.36,12.04,77.0,0.0,7.83,GL,1601211704.0
santa isabel do rio negro,-0.41,-65.02,80.55,81.0,100.0,1.28,BR,1601211923.0
sorland,67.666667,12.69,48.2,57.0,0.0,8.05,NO,1601211924.0
torbay,47.67,-52.733332999999995,63.0,72.0,75.0,23.04,CA,1601211924.0
kaitangata,-46.275,169.85,37.0,66.0,63.0,8.01,NZ,1601211924.0
skjervoy,70.033333,20.97,48.2,54.0,0.0,10.29,NO,1601211925.0
carnarvon,-24.87,113.63,69.8,60.0,0.0,19.46,AU,1601211714.0
castro,-24.79,-50.01,86.0,28.0,7.0,10.98,BR,1601211925.0
yashkul,46.1711,45.3435,70.38,31.0,0.0,21.74,RU,1601211925.0
gornji milanovac,44.033333,20.45,68.0,49.0,40.0,5.82,RS,1601211925.0
montlucon,46.333333,2.6,46.0,94.0,100.0,7.0,FR,1601211926.0
butembo,0.15,29.283333000000002,68.38,91.0,100.0,2.19,CD,1601211926.0
inongo,-1.95,18.266667,78.19,79.0,82.0,1.12,CD,1601211926.0
leningradskiy,69.38,178.42,27.1,91.0,0.0,6.62,RU,1601211927.0
aswan,24.0875,32.91,104.29,10.0,0.0,7.0,EG,1601211927.0
ngama,11.7833333,17.1666667,93.7,40.0,64.0,2.19,TD,1601211927.0
georgetown,5.41,100.34,82.4,74.0,20.0,3.36,MY,1601211927.0
tiksi,71.68722199999999,128.869444,42.01,88.0,100.0,9.17,RU,1601211928.0
hofn,64.25,-15.21,49.01,93.0,100.0,25.95,IS,1601211928.0
tefe,-3.35,-64.71,78.8,88.0,20.0,6.93,BR,1601211921.0
egvekinot,66.31666700000001,-179.166667,27.86,91.0,0.0,7.14,RU,1601211928.0
visby,57.64,18.3,68.0,64.0,12.0,13.87,SE,1601211928.0
saint george,37.1,-113.58,64.99,18.0,1.0,9.17,US,1601211768.0
gazojak,41.19,61.4,67.19,23.0,0.0,15.08,TM,1601211929.0
punta arenas,-53.15,-70.916667,39.2,69.0,90.0,10.29,CL,1601211929.0
tasiilaq,65.61,-37.64,37.4,93.0,98.0,1.12,GL,1601211671.0
itarema,-2.92,-39.92,86.16,54.0,1.0,17.2,BR,1601211929.0
werda,-25.2666667,23.283333300000002,81.45,13.0,0.0,12.97,BW,1601211930.0
narsaq,60.92,-46.05,32.0,74.0,0.0,4.7,GL,1601211930.0
namatanai,-3.6666667,152.43333330000002,81.05,79.0,100.0,6.08,PG,1601211683.0
ponta do sol,32.67,-17.1,72.0,74.0,62.0,4.0,PT,1601211930.0
atuona,-9.8,-139.0333333,77.45,75.0,5.0,15.52,PF,1601211931.0
longyearbyen,78.2166667,15.64,32.0,96.0,75.0,8.05,SJ,1601211931.0
dikson,73.50694399999999,80.546389,36.48,80.0,100.0,19.01,RU,1601211931.0
albury,-36.08,146.923935,42.8,87.0,0.0,1.12,AU,1601211931.0
trofors,65.53,13.41,51.01,71.0,40.0,2.24,NO,1601211931.0
dingle,11.0,122.67,78.22,85.0,44.0,3.31,PH,1601211650.0
jamestown,42.1,-79.24,63.0,87.0,20.0,11.41,US,1601211932.0
farafangana,-22.8166667,47.8333333,75.65,76.0,0.0,15.79,MG,1601211932.0
bac lieu,9.29,105.72444399999999,77.63,88.0,100.0,14.54,VN,1601211728.0
naruto,34.18,134.62,71.6,64.0,40.0,14.99,JP,1601211932.0
upernavik,72.79,-56.15,26.98,93.0,91.0,9.01,GL,1601211671.0
gayeri,12.6497222,0.4930556,93.31,41.0,0.0,5.08,BF,1601211933.0
sambava,-14.266666699999998,50.1666667,77.83,68.0,12.0,9.06,MG,1601211701.0
butaritari,3.07,172.79,82.33,77.0,100.0,11.97,KI,1601211933.0
port blair,11.666667,92.75,82.8,78.0,97.0,12.15,IN,1601211933.0
port elizabeth,-33.92,25.57,60.8,51.0,20.0,21.92,ZA,1601211934.0
resplendor,-19.333333,-41.26,86.68,40.0,0.0,4.47,BR,1601211934.0
isangel,-19.55,169.2666667,75.2,94.0,20.0,9.17,VU,1601211934.0
reconquista,-29.15,-59.65,62.78,83.0,100.0,16.78,AR,1601211935.0
beloha,-25.1666667,45.05,85.19,34.0,11.0,13.06,MG,1601211665.0
tual,-5.6666669999999995,132.75,81.97,82.0,100.0,17.11,ID,1601211716.0
jingdezhen,29.2947,117.20788700000001,64.71,94.0,39.0,1.14,CN,1601211936.0
arraial do cabo,-22.966667,-42.03,84.2,65.0,100.0,6.93,BR,1601211936.0
bethel,41.37,-73.41,66.0,93.0,90.0,2.71,US,1601211936.0
kapaa,22.0783333,-159.3219444,80.6,74.0,75.0,8.05,US,1601211937.0
souillac,-20.5166667,57.5166667,73.4,83.0,75.0,11.41,MU,1601211937.0
ayan,56.45,138.166667,49.93,91.0,27.0,2.89,RU,1601211684.0
villazon,-22.09,-65.59,55.35,33.0,0.0,2.28,BO,1601211712.0
chuy,-33.7,-53.46,64.81,94.0,100.0,11.99,UY,1601211937.0
bredasdorp,-34.532154,20.040308,59.0,51.0,87.0,6.93,ZA,1601211752.0
chara,56.906389000000004,118.263056,40.3,74.0,100.0,1.57,RU,1601211938.0
camabatela,-8.18812,15.38,80.78,51.0,88.0,4.97,AO,1601211938.0
cacoal,-11.44,-61.45,88.41,44.0,0.0,4.76,BR,1601211938.0
port keats,-14.25,129.55,83.37,58.0,33.0,4.14,AU,1601211939.0
batticaloa,7.71,81.69,82.94,77.0,21.0,13.53,LK,1601211751.0
jiuquan,39.738170000000004,98.52,64.56,26.0,99.0,6.11,CN,1601211939.0
cayenne,4.9333333,-52.3333333,86.0,70.0,20.0,9.17,GF,1601211940.0
